date,通常物数
2024/1/16,39000
2024/1/17,42000
2024/1/18,45000
2024/1/19,56000
2024/1/20,0
2024/1/21,0
2024/1/22,83000
2024/1/23,36000
2024/1/24,39000
2024/1/25,38000
2024/1/26,45000
2024/1/27,0
2024/1/28,0
2024/1/29,86000
2024/1/30,40000
2024/1/31,56000
2024/2/1,60000
2024/2/2,52000
2024/2/3,0
2024/2/4,0
2024/2/5,82000
2024/2/6,37000
2024/2/7,41000
2024/2/8,39000
2024/2/9,50000
2024/2/10,0
2024/2/11,0
2024/2/12,0
2024/2/13,114000
2024/2/14,43000
2024/2/15,49000
2024/2/16,42000
2024/2/17,0
2024/2/18,0
2024/2/19,90000
2024/2/20,32000
2024/2/21,43000
2024/2/22,46000
2024/2/23,0
2024/2/24,0
2024/2/25,0
2024/2/26,128000
2024/2/27,29000
2024/2/28,43000
2024/2/29,47000
2024/3/1,54000
2024/3/2,0
2024/3/3,0
2024/3/4,91000
2024/3/5,42000
2024/3/6,50000
2024/3/7,55000
2024/3/8,53000
2024/3/9,0
2024/3/10,0
2024/3/11,89000
2024/3/12,44000
2024/3/13,48000
2024/3/14,53000
2024/3/15,58000
2024/3/16,0
2024/3/17,0
2024/3/18,87000
2024/3/19,38000
2024/3/20,0
2024/3/21,101000
2024/3/22,60000
2024/3/23,0
2024/3/24,0
2024/3/25,88000
2024/3/26,46000
2024/3/27,53000
2024/3/28,55000
2024/3/29,64000
2024/3/30,0
2024/3/31,0
2024/4/1,96000
2024/4/2,46000
2024/4/3,63000
2024/4/4,72000
2024/4/5,70000
2024/4/6,0
2024/4/7,0
2024/4/8,91000
2024/4/9,73000
2024/4/10,75000
2024/4/11,65000
2024/4/12,64000
2024/4/13,0
2024/4/14,0
2024/4/15,89000
2024/4/16,42000
2024/4/17,44000
2024/4/18,45000
2024/4/19,53000
2024/4/20,0
2024/4/21,0
2024/4/22,91000
2024/4/23,39000
2024/4/24,41000
2024/4/25,43000
2024/4/26,52000
2024/4/27,0
2024/4/28,0
2024/4/29,0
2024/4/30,107000
2024/5/1,35000
2024/5/2,38000
2024/5/3,0
2024/5/4,0
2024/5/5,0
2024/5/6,0
2024/5/7,98000
2024/5/8,27000
2024/5/9,36000
2024/5/10,45000
2024/5/11,0
2024/5/12,0
2024/5/13,89000
2024/5/14,45000
2024/5/15,51000
2024/5/16,50000
2024/5/17,48000
2024/5/18,0
2024/5/19,0
2024/5/20,90000
2024/5/21,38000
2024/5/22,45000
2024/5/23,44000
2024/5/24,52000
2024/5/25,0
2024/5/26,0
2024/5/27,88000
2024/5/28,41000
2024/5/29,48000
2024/5/30,50000
2024/5/31,50000
2024/6/1,0
2024/6/2,0
2024/6/3,87000
2024/6/4,38000
2024/6/5,52000
2024/6/6,52000
2024/6/7,51000
2024/6/8,0
2024/6/9,0
2024/6/10,88000
2024/6/11,44000
2024/6/12,51000
2024/6/13,53000
2024/6/14,58000
2024/6/15,0
2024/6/16,0
2024/6/17,88000
2024/6/18,39000
2024/6/19,44000
2024/6/20,61000
2024/6/21,58000
2024/6/22,0
2024/6/23,0
2024/6/24,78000
2024/6/25,36000
2024/6/26,44000
2024/6/27,45000
2024/6/28,47000
2024/6/29,0
2024/6/30,0
2024/7/1,85000
2024/7/2,42000
2024/7/3,46000
2024/7/4,53000
2024/7/5,51000
2024/7/6,0
2024/7/7,0
2024/7/8,90000
2024/7/9,40000
2024/7/10,51000
2024/7/11,49000
2024/7/12,55000
2024/7/13,0
2024/7/14,0
2024/7/15,0
2024/7/16,147000
2024/7/17,32000
2024/7/18,52000
2024/7/19,65000
2024/7/20,0
2024/7/21,0
2024/7/22,87000
2024/7/23,39000
2024/7/24,42000
2024/7/25,51000
2024/7/26,55000
2024/7/27,0
2024/7/28,0
2024/7/29,86000
2024/7/30,45000
2024/7/31,46000
2024/8/1,55000
2024/8/2,49000
2024/8/3,0
2024/8/4,0
2024/8/5,84000
2024/8/6,38000
2024/8/7,40000
2024/8/8,45000
2024/8/9,41000
2024/8/10,0
2024/8/11,0
2024/8/12,0
2024/8/13,80000
2024/8/14,27000
2024/8/15,33000
2024/8/16,29000
2024/8/17,0
2024/8/18,0
2024/8/19,76000
2024/8/20,48000
2024/8/21,51000
2024/8/22,55000
2024/8/23,49000
2024/8/24,0
2024/8/25,0
2024/8/26,89000
2024/8/27,47000
2024/8/28,42000
2024/8/29,44000
2024/8/30,52000
2024/8/31,0
2024/9/1,0
2024/9/2,85000
2024/9/3,43000
2024/9/4,52000
2024/9/5,49000
2024/9/6,60000
2024/9/7,0
2024/9/8,0
2024/9/9,84000
2024/9/10,41000
2024/9/11,52000
2024/9/12,49000
2024/9/13,48000
2024/9/14,0
2024/9/15,0
2024/9/16,0
2024/9/17,137000
2024/9/18,35000
2024/9/19,46000
2024/9/20,44000
2024/9/21,0
2024/9/22,0
2024/9/23,0
2024/9/24,125000
2024/9/25,32000
2024/9/26,52000
2024/9/27,55000
2024/9/28,0
2024/9/29,0
2024/9/30,86000
